,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Officials,Officials_2
4,4,Sun,October 3,4:15PM ET,boxscore,L,,2-2,@,San Diego Chargers,41.0,10.0,10.0,23.0,134.0,419.0,87.0,239.0,47.0,180.0,3.0,1.0,-25.88,-12.24,7.3,/boxscores/201010030sdg.htm,0,Back Judge,Dino Paganelli
5,4,Sun,October 3,4:15PM ET,boxscore,L,,2-2,@,San Diego Chargers,41.0,10.0,10.0,23.0,134.0,419.0,87.0,239.0,47.0,180.0,3.0,1.0,-25.88,-12.24,7.3,/boxscores/201010030sdg.htm,0,Side Judge,Mike Weatherford
6,4,Sun,October 3,4:15PM ET,boxscore,L,,2-2,@,San Diego Chargers,41.0,10.0,10.0,23.0,134.0,419.0,87.0,239.0,47.0,180.0,3.0,1.0,-25.88,-12.24,7.3,/boxscores/201010030sdg.htm,0,Field Judge,Bob Waggoner
0,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Referee,Tony Corrente
1,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Umpire,Fred Bryan
2,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Head Linesman,John McGrath
3,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Line Judge,Adrian Hill
4,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Back Judge,Gregory Wilson
5,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Side Judge,Allen Baynes
6,5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,,New Orleans Saints,20.0,30.0,12.0,19.0,194.0,358.0,153.0,273.0,41.0,85.0,1.0,4.0,-10.49,11.48,7.11,/boxscores/201010100crd.htm,0,Field Judge,Gary Cavaletto
0,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Referee,Jeff Triplette
1,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Umpire,Jeff Rice
2,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Head Linesman,Wayne Mackie
3,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Line Judge,Jeff Bergman
4,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Back Judge,Steve Freeman
5,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Side Judge,Dave Wyant
6,7,Sun,October 24,4:06PM ET,boxscore,L,,3-3,@,Seattle Seahawks,22.0,10.0,13.0,16.0,227.0,302.0,114.0,158.0,113.0,144.0,5.0,1.0,-15.69,14.84,-12.62,/boxscores/201010240sea.htm,0,Field Judge,Scott Steenson
0,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Referee,Ron Winter
1,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Umpire,Tony Michalek
2,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Head Linesman,Julian Mapp
3,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Line Judge,Tom Stephan
4,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Back Judge,Richard Reels
5,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Side Judge,Tom Hill
6,8,Sun,October 31,4:15PM ET,boxscore,L,,3-4,,Tampa Bay Buccaneers,38.0,35.0,22.0,19.0,396.0,407.0,296.0,253.0,100.0,154.0,4.0,2.0,-6.25,-7.04,12.55,/boxscores/201010310crd.htm,0,Field Judge,Jim Howey
0,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Referee,Bill Leavy
1,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Umpire,Darrell Jenkins
2,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Head Linesman,Mark Baltz
3,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Line Judge,Mark Perlman
4,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Back Judge,Keith Ferguson
5,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Side Judge,Barry Anderson
6,9,Sun,November 7,1:05PM ET,boxscore,L,OT,3-5,@,Minnesota Vikings,27.0,24.0,13.0,28.0,225.0,507.0,172.0,427.0,53.0,80.0,1.0,3.0,-7.8,-10.13,12.97,/boxscores/201011070min.htm,0,Field Judge,Jim Quirk
0,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Referee,Scott Green
1,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Umpire,Bruce Stritesky
2,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Head Linesman,Tom Stabile
3,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Line Judge,Tom Barnes
4,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Back Judge,Scott Helverson
5,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Side Judge,Larry Rose
6,10,Sun,November 14,4:15PM ET,boxscore,L,,3-6,,Seattle Seahawks,36.0,18.0,19.0,24.0,327.0,490.0,286.0,380.0,41.0,110.0,2.0,1.0,-8.26,-8.78,1.59,/boxscores/201011140crd.htm,0,Field Judge,Dyrol Prioleau
0,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Referee,Walt Coleman
1,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Umpire,Roy Ellison
2,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Head Linesman,Ed Camp
3,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Line Judge,Michael Spanier
4,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Back Judge,Greg Yette
5,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Side Judge,Rick Patterson
6,11,Sun,November 21,1:03PM ET,boxscore,L,,3-7,@,Kansas City Chiefs,31.0,13.0,19.0,17.0,382.0,352.0,281.0,193.0,101.0,159.0,,,-1.92,-15.83,-0.63,/boxscores/201011210kan.htm,0,Field Judge,Greg Gautreaux
0,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Referee,Gene Steratore
1,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Umpire,Butch Hannah
2,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Head Linesman,Jerry Bergman
3,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Line Judge,Ron Marinucci
4,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Back Judge,Dino Paganelli
5,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Side Judge,Mike Weatherford
6,12,Mon,November 29,8:40PM ET,boxscore,L,,3-8,,San Francisco 49ers,27.0,6.0,8.0,26.0,203.0,386.0,190.0,125.0,13.0,261.0,2.0,1.0,-19.13,-12.73,8.47,/boxscores/201011290crd.htm,0,Field Judge,Bob Waggoner
0,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Referee,Clete Blakeman
1,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Umpire,Garth DeFelice
2,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Head Linesman,Tony Veteri
3,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Line Judge,Jeff Seeman
4,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Back Judge,Terrence Miles
5,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Side Judge,Greg Meyer
6,13,Sun,December 5,4:15PM ET,boxscore,L,,3-9,,St. Louis Rams,19.0,6.0,14.0,18.0,224.0,288.0,119.0,169.0,105.0,119.0,2.0,1.0,-12.22,4.79,-8.08,/boxscores/201012050crd.htm,0,Field Judge,Mike Weir
0,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Referee,Jerome Boger
1,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Umpire,Carl Paganelli
2,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Head Linesman,Steve Stelljes
3,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Line Judge,Gary Arthur
4,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Back Judge,Tony Steratore
5,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Side Judge,Joe Larrew
6,14,Sun,December 12,4:15PM ET,boxscore,W,,4-9,,Denver Broncos,13.0,43.0,21.0,20.0,357.0,288.0,146.0,156.0,211.0,132.0,1.0,6.0,-1.17,33.81,-3.43,/boxscores/201012120crd.htm,0,Field Judge,Doug Rosenbaum
0,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Referee,Tony Corrente
1,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Umpire,Fred Bryan
2,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Head Linesman,John McGrath
3,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Line Judge,Adrian Hill
4,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Back Judge,Gregory Wilson
5,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Side Judge,Allen Baynes
6,15,Sun,December 19,1:04PM ET,boxscore,L,,4-10,@,Carolina Panthers,19.0,12.0,11.0,16.0,218.0,303.0,175.0,126.0,43.0,177.0,2.0,1.0,-12.38,8.61,-5.52,/boxscores/201012190car.htm,0,Field Judge,Gary Cavaletto
0,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Referee,Jeff Triplette
1,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Umpire,Jeff Rice
2,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Head Linesman,Wayne Mackie
3,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Line Judge,Mark Perlman
4,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Back Judge,Steve Freeman
5,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Side Judge,Dave Wyant
6,16,Sat,December 25,7:30PM ET,boxscore,W,,5-10,,Dallas Cowboys,26.0,27.0,10.0,24.0,271.0,382.0,178.0,199.0,93.0,183.0,,3.0,0.18,8.34,-1.95,/boxscores/201012250crd.htm,0,Field Judge,Scott Steenson
0,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Referee,Mike Carey
1,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Umpire,Richard Hall
2,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Head Linesman,Dana McKenzie
3,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Line Judge,Tim Podraza
4,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Back Judge,Kirk Dornan
5,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Side Judge,Laird Hayes
6,17,Sun,January 2,4:15PM ET,boxscore,L,,5-11,@,San Francisco 49ers,38.0,7.0,19.0,16.0,279.0,362.0,201.0,262.0,78.0,100.0,2.0,,-28.86,-9.21,7.2,/boxscores/201101020sfo.htm,0,Field Judge,Buddy Horton
0,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Referee,Don Carey
1,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Umpire,Garth DeFelice
2,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Head Linesman,Dana McKenzie
3,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Line Judge,Carl Johnson
4,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Back Judge,Terrence Miles
5,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Side Judge,Greg Meyer
6,1,Sun,September 13,1:15PM ET,boxscore,L,,0-1,,San Francisco 49ers,20.0,16.0,17.0,13.0,299.0,203.0,259.0,182.0,40.0,21.0,2.0,1.0,-12.15,8.48,-1.29,/boxscores/200909130crd.htm,0,Field Judge,Mike Weir
0,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Referee,Gene Steratore
1,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Umpire,Tony Michalek
2,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Head Linesman,Jerry Bergman
3,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Line Judge,Jeff Seeman
4,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Back Judge,Bob Waggoner
5,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Side Judge,Mike Weatherford
6,2,Sun,September 20,1:03PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,17.0,31.0,22.0,18.0,383.0,367.0,265.0,275.0,118.0,92.0,2.0,3.0,10.45,4.32,-0.09,/boxscores/200909200jax.htm,0,Field Judge,Greg Gautreaux
0,3,Sun,September 27,8:31PM ET,boxscore,L,,1-2,,Indianapolis Colts,31.0,10.0,21.0,22.0,323.0,505.0,299.0,379.0,24.0,126.0,3.0,1.0,-12.34,-14.19,6.09,/boxscores/200909270crd.htm,0,Referee,Peter Morelli
