,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Unnamed: 0,DET,ARI
10,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Fourth Down Conv.,0-1,0-0
11,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Time of Possession,39:23,30:37
0,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,First Downs,,15
1,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Rush-Yds-TDs,,11-20-1
2,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Cmp-Att-Yd-TD-INT,,25-40-349-0-0
3,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Sacked-Yards,,3-20
4,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Net Pass Yards,,329
5,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Total Yards,,349
6,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Fumbles-Lost,,1-0
7,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Turnovers,,0
8,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Penalties-Yards,,8-70
9,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Third Down Conv.,,2-11
10,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Fourth Down Conv.,,1-1
11,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Time of Possession,,22:22
0,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,First Downs,,21
1,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Rush-Yds-TDs,,22-121-0
2,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Cmp-Att-Yd-TD-INT,,30-43-173-2-2
3,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Sacked-Yards,,8-46
4,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Net Pass Yards,,127
5,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Total Yards,,248
6,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Fumbles-Lost,,0-0
7,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Turnovers,,2
8,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Penalties-Yards,,7-52
9,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Third Down Conv.,,9-17
10,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Fourth Down Conv.,,1-1
11,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Time of Possession,,31:44
0,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,First Downs,,20
1,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Rush-Yds-TDs,,23-115-1
2,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Cmp-Att-Yd-TD-INT,,22-32-241-0-1
3,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Sacked-Yards,,4-35
4,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Net Pass Yards,,206
5,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Total Yards,,321
6,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Fumbles-Lost,,0-0
7,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Turnovers,,1
8,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Penalties-Yards,,7-44
9,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Third Down Conv.,,3-9
10,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Fourth Down Conv.,,0-0
11,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Time of Possession,,26:36
0,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,First Downs,,26
1,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Rush-Yds-TDs,,38-266-2
