,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Unnamed: 0,DET,ARI
6,5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Philadelphia Eagles,34.0,7.0,16.0,19.0,307.0,419.0,276.0,297.0,31.0,122.0,1.0,1.0,-3.67,-16.42,-5.58,/boxscores/201710080phi.htm,0,Fumbles-Lost,,1-1
7,5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Philadelphia Eagles,34.0,7.0,16.0,19.0,307.0,419.0,276.0,297.0,31.0,122.0,1.0,1.0,-3.67,-16.42,-5.58,/boxscores/201710080phi.htm,0,Turnovers,,1
8,5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Philadelphia Eagles,34.0,7.0,16.0,19.0,307.0,419.0,276.0,297.0,31.0,122.0,1.0,1.0,-3.67,-16.42,-5.58,/boxscores/201710080phi.htm,0,Penalties-Yards,,7-61
9,5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Philadelphia Eagles,34.0,7.0,16.0,19.0,307.0,419.0,276.0,297.0,31.0,122.0,1.0,1.0,-3.67,-16.42,-5.58,/boxscores/201710080phi.htm,0,Third Down Conv.,,4-14
10,5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Philadelphia Eagles,34.0,7.0,16.0,19.0,307.0,419.0,276.0,297.0,31.0,122.0,1.0,1.0,-3.67,-16.42,-5.58,/boxscores/201710080phi.htm,0,Fourth Down Conv.,,2-3
11,5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Philadelphia Eagles,34.0,7.0,16.0,19.0,307.0,419.0,276.0,297.0,31.0,122.0,1.0,1.0,-3.67,-16.42,-5.58,/boxscores/201710080phi.htm,0,Time of Possession,,24:13
0,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,First Downs,,23
1,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Rush-Yds-TDs,,35-160-2
2,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Cmp-Att-Yd-TD-INT,,18-22-283-3-1
3,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Sacked-Yards,,2-11
4,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Net Pass Yards,,272
5,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Total Yards,,432
6,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Fumbles-Lost,,3-1
7,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Turnovers,,2
8,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Penalties-Yards,,7-61
9,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Third Down Conv.,,4-9
10,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Fourth Down Conv.,,0-1
11,6,Sun,October 15,4:05PM ET,boxscore,W,,3-3,,Tampa Bay Buccaneers,33.0,38.0,23.0,21.0,432.0,412.0,272.0,344.0,160.0,68.0,2.0,2.0,6.93,-5.45,2.54,/boxscores/201710150crd.htm,0,Time of Possession,,32:23
0,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,First Downs,,10
1,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Rush-Yds-TDs,,12-25-0
2,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Cmp-Att-Yd-TD-INT,,15-32-188-0-2
3,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Sacked-Yards,,3-17
4,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Net Pass Yards,,171
5,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Total Yards,,196
6,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Fumbles-Lost,,1-0
7,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Turnovers,,2
8,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Penalties-Yards,,10-65
9,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Third Down Conv.,,3-12
10,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Fourth Down Conv.,,1-2
11,7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,Los Angeles Rams,33.0,0.0,10.0,28.0,196.0,425.0,171.0,228.0,25.0,197.0,2.0,1.0,-16.63,-13.79,-4.82,/boxscores/201710220ram.htm,0,Time of Possession,,20:59
0,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,First Downs,,20
1,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Rush-Yds-TDs,,43-167-0
2,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Cmp-Att-Yd-TD-INT,,15-30-201-2-1
3,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Sacked-Yards,,0-0
4,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Net Pass Yards,,201
5,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Total Yards,,368
6,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Fumbles-Lost,,1-1
7,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Turnovers,,2
8,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Penalties-Yards,,2-25
9,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Third Down Conv.,,7-16
10,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Fourth Down Conv.,,0-0
11,9,Sun,November 5,4:05PM ET,boxscore,W,,4-4,@,San Francisco 49ers,10.0,20.0,20.0,17.0,368.0,329.0,201.0,266.0,167.0,63.0,2.0,2.0,-3.98,19.86,-3.99,/boxscores/201711050sfo.htm,0,Time of Possession,,36:22
0,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,First Downs,,24
1,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Rush-Yds-TDs,,24-34-1
2,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Cmp-Att-Yd-TD-INT,,24-47-273-1-0
3,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Sacked-Yards,,2-17
4,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Net Pass Yards,,256
5,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Total Yards,,290
6,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Fumbles-Lost,,1-1
7,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Turnovers,,1
8,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Penalties-Yards,,9-58
9,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Third Down Conv.,,6-15
10,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Fourth Down Conv.,,1-3
11,10,Thu,November 9,8:25PM ET,boxscore,L,,4-5,,Seattle Seahawks,22.0,16.0,24.0,14.0,290.0,287.0,256.0,212.0,34.0,75.0,1.0,,-4.03,2.92,-8.0,/boxscores/201711090crd.htm,0,Time of Possession,,29:07
0,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,First Downs,,17
1,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Rush-Yds-TDs,,18-48-0
2,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Cmp-Att-Yd-TD-INT,,22-34-257-3-2
3,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Sacked-Yards,,2-13
4,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Net Pass Yards,,244
5,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Total Yards,,292
6,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Fumbles-Lost,,1-0
7,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Turnovers,,2
8,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Penalties-Yards,,10-90
9,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Third Down Conv.,,3-10
10,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Fourth Down Conv.,,0-1
11,11,Sun,November 19,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,31.0,21.0,17.0,22.0,292.0,357.0,244.0,223.0,48.0,134.0,2.0,2.0,-2.48,-4.78,-3.27,/boxscores/201711190htx.htm,0,Time of Possession,,26:14
0,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,First Downs,,20
1,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Rush-Yds-TDs,,31-108-0
2,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Cmp-Att-Yd-TD-INT,,22-38-241-2-1
3,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Sacked-Yards,,1-5
4,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Net Pass Yards,,236
5,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Total Yards,,344
6,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Fumbles-Lost,,2-1
7,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Turnovers,,2
8,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Penalties-Yards,,10-98
9,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Third Down Conv.,,7-17
10,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Fourth Down Conv.,,0-0
11,12,Sun,November 26,4:25PM ET,boxscore,W,,5-6,,Jacksonville Jaguars,24.0,27.0,20.0,19.0,344.0,219.0,236.0,128.0,108.0,91.0,2.0,3.0,-2.72,9.17,-1.2,/boxscores/201711260crd.htm,0,Time of Possession,,34:39
0,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,First Downs,,19
1,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Rush-Yds-TDs,,24-118-1
2,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Cmp-Att-Yd-TD-INT,,18-32-221-1-2
3,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Sacked-Yards,,7-34
4,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Net Pass Yards,,187
5,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Total Yards,,305
6,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Fumbles-Lost,,1-0
7,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Turnovers,,2
8,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Penalties-Yards,,4-25
9,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Third Down Conv.,,7-15
10,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Fourth Down Conv.,,0-0
11,13,Sun,December 3,4:25PM ET,boxscore,L,,5-7,,Los Angeles Rams,32.0,16.0,19.0,18.0,305.0,303.0,187.0,213.0,118.0,90.0,2.0,1.0,-8.56,-2.4,-3.31,/boxscores/201712030crd.htm,0,Time of Possession,,31:02
0,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,First Downs,,16
1,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Rush-Yds-TDs,,29-136-0
2,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Cmp-Att-Yd-TD-INT,,17-26-178-0-0
3,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Sacked-Yards,,8-53
4,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Net Pass Yards,,125
5,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Total Yards,,261
6,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Fumbles-Lost,,0-0
7,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Turnovers,,0
8,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Penalties-Yards,,5-30
9,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Third Down Conv.,,3-14
10,14,Sun,December 10,4:05PM ET,boxscore,W,,6-7,,Tennessee Titans,7.0,12.0,16.0,14.0,261.0,204.0,125.0,139.0,136.0,65.0,,2.0,-8.75,18.35,0.07,/boxscores/201712100crd.htm,0,Fourth Down Conv.,,0-0
