,Year,Team,Week,,Sacked,Yards
0,1990,crd,16,/boxscores/199012230crd.htm,3,13
0,1990,crd,17,/boxscores/199012290crd.htm,5,37
0,1989,crd,1,/boxscores/198909100det.htm,0,0
0,1989,crd,2,/boxscores/198909170sea.htm,0,0
0,1989,crd,3,/boxscores/198909240nyg.htm,5,39
0,1989,crd,4,/boxscores/198910010crd.htm,4,29
0,1989,crd,5,/boxscores/198910080was.htm,1,5
0,1989,crd,6,/boxscores/198910150crd.htm,6,43
0,1989,crd,7,/boxscores/198910220crd.htm,2,7
0,1989,crd,8,/boxscores/198910290dal.htm,4,22
0,1989,crd,9,/boxscores/198911050crd.htm,7,46
0,1989,crd,10,/boxscores/198911120crd.htm,3,20
0,1989,crd,11,/boxscores/198911190ram.htm,5,27
0,1989,crd,12,/boxscores/198911260crd.htm,2,13
0,1989,crd,13,/boxscores/198912030crd.htm,2,21
0,1989,crd,14,/boxscores/198912100rai.htm,5,34
0,1989,crd,15,/boxscores/198912160crd.htm,6,41
0,1989,crd,16,/boxscores/198912240phi.htm,4,32
0,1988,crd,1,/boxscores/198809040cin.htm,2,20
0,1988,crd,2,/boxscores/198809120crd.htm,4,29
0,1988,crd,3,/boxscores/198809180tam.htm,1,3
0,1988,crd,4,/boxscores/198809250crd.htm,3,21
0,1988,crd,5,/boxscores/198810020ram.htm,2,10
0,1988,crd,6,/boxscores/198810090crd.htm,4,22
0,1988,crd,7,/boxscores/198810160was.htm,5,27
0,1988,crd,8,/boxscores/198810230crd.htm,6,36
0,1988,crd,9,/boxscores/198810300dal.htm,4,40
0,1988,crd,10,/boxscores/198811060crd.htm,7,35
0,1988,crd,11,/boxscores/198811130crd.htm,2,21
0,1988,crd,12,/boxscores/198811200oti.htm,5,32
0,1988,crd,13,/boxscores/198811270phi.htm,4,26
0,1988,crd,14,/boxscores/198812040nyg.htm,4,33
0,1988,crd,15,/boxscores/198812100crd.htm,4,31
0,1988,crd,16,/boxscores/198812180crd.htm,3,25
0,1987,crd,1,/boxscores/198709130crd.htm,3,18
0,1987,crd,2,/boxscores/198709200sdg.htm,5,45
0,1987,crd,4,/boxscores/198710040was.htm,4,27
0,1987,crd,5,/boxscores/198710110crd.htm,1,7
0,1987,crd,6,/boxscores/198710180sfo.htm,1,13
0,1987,crd,7,/boxscores/198710250nyg.htm,5,23
0,1987,crd,8,/boxscores/198711010crd.htm,7,56
0,1987,crd,9,/boxscores/198711080crd.htm,4,36
0,1987,crd,10,/boxscores/198711150crd.htm,3,29
0,1987,crd,11,/boxscores/198711220phi.htm,5,31
0,1987,crd,12,/boxscores/198711290atl.htm,1,6
0,1987,crd,13,/boxscores/198712060crd.htm,5,46
0,1987,crd,14,/boxscores/198712130crd.htm,4,26
0,1987,crd,15,/boxscores/198712200tam.htm,3,16
0,1987,crd,16,/boxscores/198712270dal.htm,3,18
0,1986,crd,1,/boxscores/198609070crd.htm,5,45
0,1986,crd,2,/boxscores/198609140atl.htm,2,9
0,1986,crd,3,/boxscores/198609210buf.htm,1,4
0,1986,crd,4,/boxscores/198609290crd.htm,2,20
0,1986,crd,5,/boxscores/198610050crd.htm,7,48
0,1986,crd,6,/boxscores/198610120tam.htm,2,15
0,1986,crd,7,/boxscores/198610190was.htm,5,36
0,1986,crd,8,/boxscores/198610260dal.htm,3,20
0,1986,crd,9,/boxscores/198611020crd.htm,5,33
0,1986,crd,10,/boxscores/198611090sfo.htm,1,7
0,1986,crd,11,/boxscores/198611160crd.htm,3,18
0,1986,crd,12,/boxscores/198611230crd.htm,3,23
0,1986,crd,13,/boxscores/198611300crd.htm,5,36
0,1986,crd,14,/boxscores/198612070phi.htm,4,34
0,1986,crd,15,/boxscores/198612140nyg.htm,9,68
0,1986,crd,16,/boxscores/198612210crd.htm,2,8
0,1985,crd,1,/boxscores/198509080cle.htm,3,17
0,1985,crd,2,/boxscores/198509150crd.htm,2,13
0,1985,crd,3,/boxscores/198509220nyg.htm,4,28
0,1985,crd,4,/boxscores/198509290crd.htm,3,27
0,1985,crd,5,/boxscores/198510070was.htm,4,28
0,1985,crd,6,/boxscores/198510130phi.htm,4,32
0,1985,crd,7,/boxscores/198510200pit.htm,6,49
0,1985,crd,8,/boxscores/198510270crd.htm,5,34
0,1985,crd,9,/boxscores/198511040crd.htm,3,24
0,1985,crd,10,/boxscores/198511100tam.htm,2,13
0,1985,crd,11,/boxscores/198511170crd.htm,7,47
0,1985,crd,12,/boxscores/198511240crd.htm,8,57
0,1985,crd,13,/boxscores/198511280dal.htm,5,38
0,1985,crd,14,/boxscores/198512080crd.htm,1,0
0,1985,crd,15,/boxscores/198512150ram.htm,4,34
0,1985,crd,16,/boxscores/198512210crd.htm,4,28
0,1984,crd,1,/boxscores/198409020gnb.htm,2,10
0,1984,crd,2,/boxscores/198409090crd.htm,0,0
0,1984,crd,3,/boxscores/198409160clt.htm,1,5
0,1984,crd,4,/boxscores/198409230nor.htm,5,45
0,1984,crd,5,/boxscores/198409300crd.htm,0,0
0,1984,crd,6,/boxscores/198410070dal.htm,4,29
0,1984,crd,7,/boxscores/198410140crd.htm,5,41
0,1984,crd,8,/boxscores/198410210crd.htm,3,25
0,1984,crd,9,/boxscores/198410280phi.htm,2,15
0,1984,crd,10,/boxscores/198411040crd.htm,6,48
0,1984,crd,11,/boxscores/198411110crd.htm,5,31
0,1984,crd,12,/boxscores/198411180nyg.htm,2,27
0,1984,crd,13,/boxscores/198411250crd.htm,5,41
0,1984,crd,14,/boxscores/198412020nwe.htm,1,7
0,1984,crd,15,/boxscores/198412090crd.htm,5,29
0,1984,crd,16,/boxscores/198412160was.htm,3,24
0,1983,crd,1,/boxscores/198309040nor.htm,4,27
0,1983,crd,2,/boxscores/198309110crd.htm,5,46
0,1983,crd,3,/boxscores/198309180crd.htm,3,22
0,1983,crd,4,/boxscores/198309250phi.htm,5,34
0,1983,crd,5,/boxscores/198310020kan.htm,3,27
0,1983,crd,6,/boxscores/198310090crd.htm,3,24
0,1983,crd,7,/boxscores/198310160tam.htm,3,23
